英文名稱,中文名稱,學術領域
algorithm,演算法,電子計算機名詞
data structure,資料結構,電子計算機名詞
binary tree,二元樹,電子計算機名詞
hash table,雜湊表,電子計算機名詞
recursion,遞迴,電子計算機名詞
compiler,編譯器,電子計算機名詞
operating system,作業系統,電子計算機名詞
cache,快取,電子計算機名詞
buffer,緩衝區,電子計算機名詞
thread,執行緒,電子計算機名詞
database,資料庫,資訊名詞
query,查詢,資訊名詞
index,索引,資訊名詞
schema,綱要,資訊名詞
firewall,防火牆,資訊名詞
encryption,加密,資訊名詞
authentication,身分驗證,資訊名詞
authorization,授權,資訊名詞
sample,樣本,統計學名詞
population,母體,統計學名詞
standard deviation,標準差,統計學名詞
variance,變異數,統計學名詞
hypothesis testing,假設檢定,統計學名詞
confidence interval,信賴區間,統計學名詞
regression analysis,迴歸分析,統計學名詞
correlation coefficient,相關係數,統計學名詞
probability distribution,機率分布,統計學名詞
mortgage,抵押權,法律名詞
plaintiff,原告,法律名詞
defendant,被告,法律名詞
testimony,證詞,法律名詞
jurisdiction,管轄權,法律名詞
arbitration,仲裁,法律名詞
appeal,上訴,法律名詞
contract,契約,法律名詞
hypertension,高血壓,醫學名詞
diabetes,糖尿病,醫學名詞
anesthesia,麻醉,醫學名詞
biopsy,切片檢查,醫學名詞
prognosis,預後,醫學名詞
pathology,病理學,醫學名詞
oncology,腫瘤學,醫學名詞
inflation,通貨膨脹,經濟學名詞
deflation,通貨緊縮,經濟學名詞
gross domestic product,國內生產毛額,經濟學名詞
exchange rate,匯率,經濟學名詞
fiscal policy,財政政策,經濟學名詞
monetary policy,貨幣政策,經濟學名詞
supply and demand,供給與需求,經濟學名詞
elasticity,彈性,經濟學名詞
A Coruna,科魯涅,外國地名譯名
Aachen,亞琛,外國地名譯名
Aalborg,奧爾堡,外國地名譯名
