plain-research	研究一下 Tailwind CSS v5 有什麼新功能
plain-research	日本の少子化対策について調べて
plain-research	Look into the pros and cons of SQLite for mobile apps
plain-research	幫我研究台灣的長照 2.0 政策成效
plain-research	調べてほしい：ヨーロッパの電気自動車補助金の動向
plain-research	Research how public libraries are adapting to e-books
quick-fact	RAG 是什麼？一句話說明就好
fact-check	「日本人平均每年喝 400 杯咖啡」這個說法是真的嗎？
wiki-gap	掃描我 wiki 裡的 Open Questions，上網把缺口補齊
chat-only	研究一下 Tailwind CSS v5 有什麼新功能，直接在聊天裡跟我說就好，不用建筆記
debug	Look into why the build script fails on my machine and fix it
