repo,plan,batch_era,tasks,mechanical,fanouts_now,nudge_pairs,fanouts_k2,fanouts_k2_loose,largest_component,fanouts_k2_cap3,fanouts_k2_cap4,fanouts_k2_cap5,fanouts_k2_cap6,parse_warnings
monkey-skills,2026-05-18-inline-rule-sheet.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-05-19-wiki-query-path2-frontmatter-script.md,False,5,0,5,1,4,3,2,4,4,4,4,
monkey-skills,2026-05-20-salesforce-toolkit-v0.1.0-part-1.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-05-20-salesforce-toolkit-v0.1.0-part-2.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-05-20-salesforce-toolkit-v0.1.0-part-3.md,False,4,0,4,0,4,4,1,4,4,4,4,
monkey-skills,2026-05-20-salesforce-toolkit-v0.1.0-part-4a.md,False,3,0,3,0,3,3,1,3,3,3,3,
monkey-skills,2026-05-20-salesforce-toolkit-v0.1.0-part-4b.md,False,3,0,3,0,3,3,1,3,3,3,3,
monkey-skills,2026-05-22-external-surface-grounding-discipline.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-05-22-skill-log-mining-v0.1-part-1.md,False,5,0,5,1,4,1,2,4,4,4,4,
monkey-skills,2026-05-22-skill-log-mining-v0.1-part-2.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-05-22-skill-log-mining-v0.1-part-3.md,False,4,0,4,0,4,4,1,4,4,4,4,
monkey-skills,2026-05-25-distill-sessions-v0.3-part-1.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-05-25-distill-sessions-v0.3-part-2.md,False,5,0,5,1,4,1,2,4,4,4,4,
monkey-skills,2026-05-25-distill-sessions-v2.6.1-known-bugs-hotfix.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-05-25-distill-sessions-v2.7.1-propose-target-filter.md,False,2,0,2,0,2,1,1,2,2,2,2,
monkey-skills,2026-05-26-distill-sessions-v0.4.md,False,5,0,5,1,4,1,2,4,4,4,4,
monkey-skills,2026-05-26-recap-v0.1.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-05-27-distill-sessions-v0.4.1.md,False,3,0,3,0,3,1,1,3,3,3,3,
monkey-skills,2026-05-27-distill-sessions-v0.5.md,False,5,0,5,1,4,1,2,4,4,4,4,
monkey-skills,2026-05-28-handoff-v0.1.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-05-30-plain-language-user-questions.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-05-31-asking-the-user-rollout-brainstorming-router.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-05-31-asking-the-user-three-gate-redesign.md,False,3,0,3,0,3,1,1,3,3,3,3,
monkey-skills,2026-05-31-git-memory-readability-guardrails.md,False,2,0,2,0,2,1,1,2,2,2,2,
monkey-skills,2026-05-31-git-memory-squash-retrieval-caveat.md,False,2,0,2,0,2,1,1,2,2,2,2,
monkey-skills,2026-05-31-writing-plans-parallelism-aware-ceiling.md,False,4,0,4,0,4,1,1,4,4,4,4,
monkey-skills,2026-06-01-dbt-wiki-knowledge-centric.md,False,12,0,12,0,12,1,1,12,12,12,12,
monkey-skills,2026-06-02-dbt-wiki-metric-column-cards.md,False,4,0,4,2,2,1,3,2,2,2,2,
monkey-skills,2026-06-02-dbt-wiki-nl2sql-skill-part1-A.md,False,6,0,6,1,5,1,2,5,5,5,5,
monkey-skills,2026-06-02-dbt-wiki-to-sql-semantic-guardrails.md,False,5,0,5,1,4,3,2,4,4,4,4,
monkey-skills,2026-06-02-deep-research-portable-python.md,False,12,0,12,1,11,1,2,11,11,11,11,
monkey-skills,2026-06-02-deep-research-skill.md,False,10,0,10,1,9,1,2,9,9,9,9,
monkey-skills,2026-06-03-daily-brief.md,False,10,0,10,0,10,1,1,10,10,10,10,
monkey-skills,2026-06-03-dbt-wiki-knowledge-skill-pack.md,False,5,0,5,0,5,1,1,5,5,5,5,
monkey-skills,2026-06-03-dogfood-skill-testing.md,False,9,0,9,1,8,3,2,8,8,8,8,
monkey-skills,2026-06-03-research-toolkit-cite-check.md,False,6,0,6,1,5,1,2,5,5,5,5,
monkey-skills,2026-06-03-research-toolkit-deep-read.md,False,6,0,6,0,6,2,1,6,6,6,6,
monkey-skills,2026-06-03-research-toolkit-fact-check.md,False,6,0,6,0,6,2,1,6,6,6,6,
monkey-skills,2026-06-04-obsidian-dangling-wikilink-prevention.md,False,6,0,6,1,5,4,2,5,5,5,5,
