zh-CN,zh-TW,category
软件,軟體,資訊名詞
硬件,硬體,資訊名詞
程序,程式,資訊名詞
信息,資訊,資訊名詞
鼠标,滑鼠,資訊名詞
键盘,鍵盤,資訊名詞
打印机,印表機,資訊名詞
显示器,顯示器,資訊名詞
内存,記憶體,資訊名詞
硬盘,硬碟,資訊名詞
光盘,光碟,資訊名詞
网络,網路,資訊名詞
互联网,網際網路,資訊名詞
浏览器,瀏覽器,資訊名詞
服务器,伺服器,資訊名詞
数据库,資料庫,資訊名詞
数据,資料,資訊名詞
文件,檔案,資訊名詞
文件夹,資料夾,資訊名詞
程序员,程式設計師,資訊名詞
笔记本电脑,筆記型電腦,資訊名詞
台式电脑,桌上型電腦,資訊名詞
回车,輸入,資訊名詞
默认,預設,資訊名詞
菜单,選單,資訊名詞
窗口,視窗,資訊名詞
图标,圖示,資訊名詞
界面,介面,資訊名詞
应用,應用程式,資訊名詞
操作系统,作業系統,資訊名詞
变量,變數,資訊名詞
函数,函式,資訊名詞
对象,物件,資訊名詞
数组,陣列,資訊名詞
字符串,字串,資訊名詞
循环,迴圈,資訊名詞
打包,封裝,資訊名詞
质量,品質,
项目,專案,
解决,解決,
信号,訊號,
视频,影片,
打印,列印,
存盘,存檔,
登录,登入,
注销,登出,
通讯录,通訊錄,
方便面,泡麵,
出租车,計程車,
摩托车,機車,
公交车,公車,
地铁,捷運,
冰淇淋,冰淇淋,
土豆,馬鈴薯,
西红柿,番茄,
菠萝,鳳梨,
酸奶,優酪乳,
邮箱,信箱,
邮编,郵遞區號,
水平,水準,
高清,高畫質,
导弹,飛彈,
质量,品質,
风险,風險,
信用卡,信用卡,
博客,部落格,
视频博客,影片部落格,
质量管理,品質管理,
项目经理,專案經理,
学习,學習,
学校,學校,
图书馆,圖書館,
